Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/18,19/11/17,Udinese,Cagliari,0,1,A,0,0,D,14,12,5,4,9,11,6,4,1,0,1,0
17/18,20/11/17,Verona,Bologna,2,3,A,2,1,H,17,12,5,5,11,11,6,4,2,1,0,0
17/18,25/11/17,Bologna,Sampdoria,3,0,H,2,0,H,11,20,6,7,5,13,5,12,2,2,1,0
17/18,25/11/17,Cagliari,Inter,1,3,A,0,1,A,15,10,4,4,12,15,7,5,2,2,0,0
17/18,25/11/17,Chievo,Spal,2,1,H,0,1,A,12,14,3,5,23,24,2,8,0,1,0,0
17/18,25/11/17,Sassuolo,Verona,0,2,A,0,2,A,20,9,3,6,10,15,10,6,0,3,0,1
17/18,26/11/17,Genoa,Roma,1,1,D,0,0,D,9,14,4,4,15,16,1,4,1,3,0,1
17/18,26/11/17,Juventus,Crotone,3,0,H,0,0,D,25,4,10,1,8,9,7,0,2,2,0,0
17/18,26/11/17,Lazio,Fiorentina,1,1,D,1,0,H,13,16,7,8,16,8,6,5,2,2,0,0
17/18,26/11/17,Milan,Torino,0,0,D,0,0,D,17,8,6,2,15,20,5,4,0,2,0,0
17/18,26/11/17,Udinese,Napoli,0,1,A,0,1,A,10,9,2,4,14,7,3,7,5,1,0,0
17/18,27/11/17,Atalanta,Benevento,1,0,H,0,0,D,14,6,4,2,11,16,9,3,1,2,0,0
17/18,01/12/17,Napoli,Juventus,0,1,A,0,1,A,21,7,6,4,9,5,10,3,2,1,0,0
17/18,01/12/17,Roma,Spal,3,1,H,2,0,H,37,3,15,2,10,12,10,0,1,2,0,1
17/18,02/12/17,Torino,Atalanta,1,1,D,1,0,H,9,14,4,6,9,13,5,7,2,2,0,0
17/18,03/12/17,Benevento,Milan,2,2,D,0,1,A,17,12,6,7,16,12,4,3,3,5,0,1
17/18,03/12/17,Bologna,Cagliari,1,1,D,0,1,A,13,8,3,2,15,20,5,3,6,2,0,0
17/18,03/12/17,Fiorentina,Sassuolo,3,0,H,2,0,H,23,8,9,1,9,9,13,8,1,3,0,0
17/18,03/12/17,Inter,Chievo,5,0,H,2,0,H,37,7,13,4,11,4,18,2,1,0,0,0
17/18,03/12/17,Sampdoria,Lazio,1,2,A,0,0,D,16,14,3,3,10,12,5,6,0,1,0,0
17/18,04/12/17,Crotone,Udinese,0,3,A,0,1,A,9,15,2,6,8,11,7,7,0,0,0,0
17/18,04/12/17,Verona,Genoa,0,1,A,0,1,A,15,9,3,1,17,19,2,3,2,4,0,0
17/18,09/12/17,Cagliari,Sampdoria,2,2,D,0,2,A,14,16,6,9,15,11,6,4,3,0,0,0
17/18,09/12/17,Juventus,Inter,0,0,D,0,0,D,19,6,8,1,10,21,3,4,2,5,0,0
17/18,10/12/17,Chievo,Roma,0,0,D,0,0,D,9,24,1,8,10,8,1,13,1,2,0,0
17/18,10/12/17,Milan,Bologna,2,1,H,1,1,D,21,10,7,2,9,7,12,7,0,0,0,0
17/18,10/12/17,Napoli,Fiorentina,0,0,D,0,0,D,10,6,4,3,10,6,4,2,3,3,0,0
17/18,10/12/17,Sassuolo,Crotone,2,1,H,0,0,D,16,8,7,2,10,15,8,6,3,2,0,0
17/18,10/12/17,Spal,Verona,2,2,D,0,0,D,19,16,10,8,14,15,8,6,3,2,0,0
17/18,10/12/17,Udinese,Benevento,2,0,H,2,0,H,9,20,2,5,16,15,3,9,1,2,0,0
17/18,11/12/17,Lazio,Torino,1,3,A,0,0,D,20,18,7,6,7,16,13,2,1,1,1,0
17/18,12/12/17,Genoa,Atalanta,1,2,A,1,1,D,15,13,4,7,14,20,7,5,3,2,0,0
17/18,16/12/17,Inter,Udinese,1,3,A,1,1,D,26,8,8,5,9,16,15,3,1,4,0,0
17/18,16/12/17,Roma,Cagliari,1,0,H,0,0,D,21,3,6,0,14,15,5,1,1,3,0,0
17/18,16/12/17,Torino,Napoli,1,3,A,0,3,A,8,12,2,4,8,8,4,5,1,1,0,0
17/18,17/12/17,Atalanta,Lazio,3,3,D,2,2,D,13,13,6,4,5,12,5,7,2,2,0,0
17/18,17/12/17,Benevento,Spal,1,2,A,0,0,D,16,14,4,5,14,11,6,3,2,3,0,0
17/18,17/12/17,Bologna,Juventus,0,3,A,0,2,A,3,11,1,6,9,9,3,7,3,1,0,0
17/18,17/12/17,Crotone,Chievo,1,0,H,1,0,H,15,15,6,4,17,13,6,4,4,4,0,0
17/18,17/12/17,Fiorentina,Genoa,0,0,D,0,0,D,22,5,4,3,13,9,3,4,2,2,0,0
17/18,17/12/17,Sampdoria,Sassuolo,0,1,A,0,0,D,13,15,2,7,15,16,7,5,1,6,0,0
17/18,17/12/17,Verona,Milan,3,0,H,1,0,H,6,30,4,8,12,13,4,13,3,2,0,1
17/18,22/12/17,Cagliari,Fiorentina,0,1,A,0,0,D,8,26,1,7,14,13,7,10,2,2,1,0
17/18,22/12/17,Chievo,Bologna,2,3,A,1,1,D,21,9,8,5,13,13,7,5,2,2,0,1
17/18,23/12/17,Genoa,Benevento,1,0,H,0,0,D,15,12,5,3,14,17,8,4,2,5,0,0
17/18,23/12/17,Juventus,Roma,1,0,H,1,0,H,22,13,7,3,9,13,3,5,2,3,0,0
17/18,23/12/17,Lazio,Crotone,4,0,H,0,0,D,19,8,6,2,12,7,10,3,1,2,0,0
17/18,23/12/17,Milan,Atalanta,0,2,A,0,1,A,23,11,5,7,17,11,7,4,2,0,0,0
17/18,23/12/17,Napoli,Sampdoria,3,2,H,3,2,H,14,6,9,2,17,15,2,2,4,5,1,0
17/18,23/12/17,Sassuolo,Inter,1,0,H,1,0,H,9,16,4,4,14,18,1,10,1,2,0,0
17/18,23/12/17,Spal,Torino,2,2,D,1,2,A,15,15,4,5,12,21,9,3,4,2,0,0
17/18,23/12/17,Udinese,Verona,4,0,H,2,0,H,27,3,10,0,12,15,7,1,0,3,0,0
17/18,29/12/17,Crotone,Napoli,0,1,A,0,1,A,5,23,2,7,10,6,2,15,1,2,0,0
